id;ifes;area;Nome;Mod;ano base;Nota;Docen;A1;A2;B1;B2;B3;B4;B5;C
11001011005P3;UFAC;SAÚDE COLETIVA;SAÚDE COLETIVA;Acad;2014;4;14;7;5;2;7;3;2;0;4
11001011005P3;UFAC;SAÚDE COLETIVA;SAÚDE COLETIVA;Acad;2015;4;13;10;1;5;3;0;2;1;2
11001011005P3;UFAC;SAÚDE COLETIVA;SAÚDE COLETIVA;Acad;2016;4;15;4;2;5;3;3;3;1;1
11001011006P0;UFAC;CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA;MEIO AMBIENTE E AGRÁRIAS;Acad;2013;3;18;4;6;14;8;10;0;0;0
11001011006P0;UFAC;CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA;MEIO AMBIENTE E AGRÁRIAS;Acad;2014;3;17;1;2;9;5;19;4;0;0
11001011006P0;UFAC;CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA;MEIO AMBIENTE E AGRÁRIAS;Acad;2015;3;21;1;1;9;4;11;1;0;1
11001011006P0;UFAC;CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA;MEIO AMBIENTE E AGRÁRIAS;Acad;2016;3;23;2;2;12;3;4;2;2;0
11001011007P6;UFAC;ENSINO DE CIÊNCIAS E MATEMÁTICA;ENSINO DE CIÊNCIAS E MATEMÁTICA;Prof;2014;3;11;0;0;0;0;1;0;0;0
11001011007P6;UFAC;ENSINO DE CIÊNCIAS E MATEMÁTICA;ENSINO DE CIÊNCIAS E MATEMÁTICA;Prof;2015;3;14;0;2;2;3;3;1;0;1
11001011007P6;UFAC;ENSINO DE CIÊNCIAS E MATEMÁTICA;ENSINO DE CIÊNCIAS E MATEMÁTICA;Prof;2016;3;20;0;0;5;0;1;3;0;0
11001011008P2;UFAC;SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL;MEDICINA VETERINÁRIA;Acad;2014;4;13;0;3;0;0;0;6;0;0
11001011008P2;UFAC;SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL;MEDICINA VETERINÁRIA;Acad;2015;4;15;0;3;1;0;1;7;3;0
11001011008P2;UFAC;SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL;MEDICINA VETERINÁRIA;Acad;2016;4;23;2;6;2;0;2;6;7;0
11001011009P9;UFAC;EDUCAÇÃO;EDUCAÇÃO;Acad;2014;3;9;0;0;0;0;0;0;0;0
11001011009P9;UFAC;EDUCAÇÃO;EDUCAÇÃO;Acad;2015;3;10;0;0;2;0;0;0;1;0
11001011009P9;UFAC;EDUCAÇÃO;EDUCAÇÃO;Acad;2016;3;9;0;0;0;0;0;1;0;0
11001011070P0;UFAC;CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL;ANATOMIA PATOLÓGICA E PATOLOGIA CLÍNICA;Acad;2016;3;25;3;8;9;3;10;5;7;7
11001011071P6;UFAC;CIÊNCIA FLORESTAL;RECURSOS FLORESTAIS E ENGENHARIA FLORESTAL;Acad;2016;3;11;5;3;3;0;0;2;1;0
12001015001P0;UFAM;EDUCAÇÃO;EDUCAÇÃO;Acad;2013;4;22;0;0;0;0;1;0;3;3
12001015001P0;UFAM;EDUCAÇÃO;EDUCAÇÃO;Acad;2014;4;26;0;5;5;8;2;1;1;15
12001015001P0;UFAM;EDUCAÇÃO;EDUCAÇÃO;Acad;2015;4;25;0;3;7;8;9;3;2;9
12001015001P0;UFAM;EDUCAÇÃO;EDUCAÇÃO;Acad;2016;4;23;2;2;5;1;1;0;2;2
12001015002P7;UFAM;QUÍMICA;QUÍMICA DOS PRODUTOS NATURAIS;Acad;2013;4;24;1;6;5;6;11;5;1;17
12001015002P7;UFAM;QUÍMICA;QUÍMICA DOS PRODUTOS NATURAIS;Acad;2014;4;24;3;5;8;5;4;4;1;16
12001015002P7;UFAM;QUÍMICA;QUÍMICA DOS PRODUTOS NATURAIS;Acad;2015;4;28;2;14;6;8;16;9;0;9
12001015002P7;UFAM;QUÍMICA;QUÍMICA DOS PRODUTOS NATURAIS;Acad;2016;4;27;2;7;6;5;14;1;1;18
12001015003P3;UFAM;AGRONOMIA TROPICAL;AGRONOMIA;Acad;2013;4;19;1;7;14;3;7;1;2;1
12001015003P3;UFAM;AGRONOMIA TROPICAL;AGRONOMIA;Acad;2014;4;19;1;3;21;0;3;3;4;0
12001015003P3;UFAM;AGRONOMIA TROPICAL;AGRONOMIA;Acad;2015;4;21;3;8;24;6;3;2;3;0
12001015003P3;UFAM;AGRONOMIA TROPICAL;AGRONOMIA;Acad;2016;4;21;0;7;15;9;3;4;12;0
12001015006P2;UFAM;FÍSICA;FÍSICA;Acad;2013;3;13;0;4;4;10;5;1;0;0
12001015006P2;UFAM;FÍSICA;FÍSICA;Acad;2014;3;14;0;3;7;11;2;1;1;1
12001015006P2;UFAM;FÍSICA;FÍSICA;Acad;2015;3;14;0;0;5;3;1;1;2;2
12001015006P2;UFAM;FÍSICA;FÍSICA;Acad;2016;3;12;0;5;3;5;0;1;2;1
12001015007P9;UFAM;CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA;CIÊNCIAS AMBIENTAIS;Acad;2013;4;29;3;3;22;4;12;11;7;0
12001015007P9;UFAM;CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA;CIÊNCIAS AMBIENTAIS;Acad;2014;4;29;3;6;8;2;6;6;12;1
12001015007P9;UFAM;CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA;CIÊNCIAS AMBIENTAIS;Acad;2015;4;31;4;5;23;5;7;4;6;1
12001015007P9;UFAM;CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA;CIÊNCIAS AMBIENTAIS;Acad;2016;4;33;6;1;22;3;8;9;9;0
12001015008P5;UFAM;GEOCIÊNCIAS;GEOCIÊNCIAS;Acad;2013;3;9;1;1;3;2;1;1;0;0
12001015008P5;UFAM;GEOCIÊNCIAS;GEOCIÊNCIAS;Acad;2014;3;13;0;3;1;2;1;0;1;0
12001015008P5;UFAM;GEOCIÊNCIAS;GEOCIÊNCIAS;Acad;2015;3;15;0;1;5;3;0;1;1;0
12001015008P5;UFAM;GEOCIÊNCIAS;GEOCIÊNCIAS;Acad;2016;3;15;1;1;5;5;0;0;2;0
12001015009P1;UFAM;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;Prof;2013;3;26;0;0;0;0;0;2;5;0
12001015009P1;UFAM;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;Prof;2014;3;32;0;0;1;1;1;2;3;2
12001015009P1;UFAM;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;Prof;2015;3;39;0;1;1;0;1;3;7;3
12001015009P1;UFAM;ENGENHARIA DE PRODUÇÃO;ENGENHARIA DE PRODUÇÃO;Prof;2016;3;39;0;0;1;0;2;4;30;9
12001015012P2;UFAM;INFORMÁTICA;CIÊNCIA DA COMPUTAÇÃO;Acad;2013;5;25;4;2;4;0;1;0;9;3
